BLEU = 16.77, 64.0/33.7/20.2/14.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.70, 65.2/35.5/21.4/16.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.45, 65.0/34.6/20.7/16.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.07, 64.1/34.2/20.7/15.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.72, 63.4/34.2/20.1/14.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.93, 63.4/34.0/20.1/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.66, 63.7/33.4/20.2/14.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.45, 63.1/33.8/19.6/14.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.75, 62.7/32.6/18.5/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.20, 63.1/33.8/19.4/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.86, 64.0/33.7/20.5/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.56, 64.2/34.4/21.5/16.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.21, 64.5/34.4/20.9/15.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.29, 63.1/33.5/19.7/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.86, 63.5/32.2/18.8/13.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.15, 63.4/33.0/19.0/13.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.76, 63.8/33.5/20.1/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.66, 63.8/32.1/18.1/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.96, 64.0/32.7/19.0/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.96, 63.8/33.0/18.7/13.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.71, 65.0/33.6/19.9/14.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.37, 63.5/31.4/17.9/12.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.59, 63.6/33.0/20.1/14.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.88, 63.6/32.5/19.2/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.94, 63.3/33.3/19.0/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.04, 63.2/32.6/19.0/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.29, 62.6/30.8/17.6/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.47, 63.3/31.8/18.0/12.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.09, 63.5/31.4/17.5/12.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.75, 63.0/32.6/19.2/12.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.83, 63.3/32.1/18.5/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.93, 64.3/33.8/20.7/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.56, 63.9/33.2/20.0/14.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.71, 63.7/32.6/20.2/15.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.99, 63.8/32.4/18.9/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.15, 64.1/33.0/19.3/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.18, 64.3/33.2/19.5/13.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.05, 63.2/32.9/19.2/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.09, 64.6/33.0/19.0/13.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.70, 62.3/31.5/18.3/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.77, 63.8/32.0/18.8/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.94, 62.9/32.1/19.2/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.78, 63.1/32.4/18.6/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.11, 62.9/33.2/19.8/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.53, 62.4/31.9/18.4/12.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.90, 63.5/32.1/19.0/13.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.85, 63.3/32.4/18.9/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.70, 64.0/34.1/20.1/14.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.97, 62.5/32.6/18.9/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.24, 63.8/33.1/19.5/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.91, 64.1/34.4/20.5/14.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.18, 63.6/32.9/19.2/13.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.22, 61.5/33.6/19.6/13.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.05, 62.3/33.1/19.3/13.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.03, 62.6/32.3/18.8/14.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.92, 62.1/32.1/18.6/14.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.15, 62.0/32.7/19.4/14.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.49, 61.5/31.6/18.2/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.53, 61.0/31.8/18.4/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.27, 61.5/31.4/18.0/12.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.66, 61.3/31.4/18.5/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.56, 61.1/32.2/18.5/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 14.84, 60.8/30.4/17.0/12.5 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.44, 60.9/32.2/18.1/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.80, 63.4/32.8/18.4/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.02, 62.3/33.0/18.9/13.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.75, 62.5/32.7/18.5/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.66, 61.4/33.4/20.0/15.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
